nll-oracle,nll-test,EmbeddingSimilarity,
1,12.255739,42.065445,-0.2230815932438422,
6,11.73303,36.57345,-0.3265280195209084,
11,11.454453,30.288797,-0.3158395722215768,
16,11.346117,20.190405,-0.3056700536043257,
21,10.711595,10.588171,-0.2333835837072724,
26,9.371922,8.43529,-0.16245820505566377,
31,7.678667,7.7793703,-0.1316375437317717,
36,7.9235086,7.6094627,-0.1313926222252231,
41,8.006651,7.5416856,-0.1303624989451839,
46,7.7592945,7.498346,-0.13063833641730613,
51,8.960154,7.512755,-0.1295369324455224,
56,8.091727,7.445328,-0.12921431793832563,
61,7.6459155,7.429093,-0.1299638590146909,
66,7.153247,7.3985534,-0.12908794731405304,
71,7.40349,7.3788767,-0.12944808135538444,
76,7.2338305,7.3657174,-0.12901178834990407,
81,7.22926,7.4566355,-0.1288703194963581,
86,13.709041,7.9918604,-0.12886090762364258,
91,13.709074,8.026053,-0.12886133107695444,
96,13.708953,8.03258,-0.12877572484752517,
101,13.70884,8.039605,-0.1288608604146404,
106,13.7089815,8.040958,-0.12874572689321398,
111,13.708903,8.048352,-0.12886251514460062,
116,13.708806,8.053343,-0.128858358849867,
121,13.70884,8.055209,-0.12885864107491252,
126,13.708878,8.059128,-0.1287456516939504,
131,13.708916,8.06267,-0.12876867324356012,
136,13.708853,8.066497,-0.1288580392289619,
141,13.708887,8.069859,-0.12874732080033355,
146,13.708847,8.071147,-0.12885265216018035,
151,13.70884,8.074062,-0.1288559473368859,
156,13.70884,8.074576,-0.12885585826596127,
161,13.708843,8.075031,-0.1288543688948437,
166,13.708975,8.074843,-0.12877699755371955,
171,13.708919,8.0809765,-0.12885783526168382,
176,13.70884,8.0806055,-0.12885300737042457,
180,13.70884,8.080034,-0.1288599788993511,
